City_ID,City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
0,Broken Hill,AU,68.0,clear sky,-31.95,141.4333,Royal Exchange Hotel
14,Busselton,AU,73.0,overcast clouds,-33.65,115.3333,Observatory Guest House
15,Jijiga,ET,61.57,moderate rain,9.35,42.8,RAMAAS HOTEL
17,Hobart,AU,66.2,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
18,Los Llanos de Aridane,ES,66.2,broken clouds,28.6585,-17.9182,Valle Aridane
19,Arraial do Cabo,BR,74.05,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
29,Cabo San Lucas,MX,73.99,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
31,Linguère,SN,72.37,scattered clouds,15.3953,-15.1193,Hôtel Amadou Seck
38,São Filipe,CV,71.73,overcast clouds,14.8961,-24.4956,Tortuga B&B
45,Port Alfred,ZA,71.47,overcast clouds,-33.5906,26.891,The Halyards Hotel
54,Codrington,AU,60.8,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
61,New Norfolk,AU,66.2,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
71,Hilo,US,73.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
74,Kathmandu,NP,71.6,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
75,São Félix do Xingu,BR,72.05,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
76,Lady Lake,US,68.0,clear sky,28.9175,-81.9229,Holiday Inn Express & Suites the Villages
87,Mar del Plata,AR,61.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
89,Humaitá,BR,74.88,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
98,Puerto Quijarro,BO,67.05,overcast clouds,-17.7833,-57.7667,Hotel palance
100,Linhares,BR,71.69,few clouds,-19.3911,-40.0722,Hotel Conceição
106,Rawson,AR,60.13,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
116,Houma,US,64.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
121,Juneau,US,60.8,few clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
123,Airai,TL,73.2,scattered clouds,-8.9266,125.4092,Juvinal Martin
127,East London,ZA,67.59,overcast clouds,-33.0153,27.9116,Tu Casa
132,Cape Town,ZA,62.6,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
133,Hong Kong,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
136,Taltal,CL,61.72,clear sky,-25.4,-70.4833,Residencial Karime
