,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptions
0,Broken Hill,AU,-31.95,141.4333,68.0,42,0,8.05,clear sky
1,Albany,US,42.6001,-73.9662,46.99,50,38,1.01,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,77.95,74,26,5.28,scattered clouds
3,Asău,RO,46.4333,26.4,37.99,65,57,1.23,broken clouds
4,Butaritari,KI,3.0707,172.7902,83.21,73,17,11.56,few clouds
5,Lagoa,PT,39.05,-27.9833,58.96,85,100,11.32,overcast clouds
6,Stepnyak,KZ,52.8339,70.7803,50.43,64,100,16.04,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,95,4.61,overcast clouds
8,Port Blair,IN,11.6667,92.75,84.2,84,40,2.3,mist
9,Sinnamary,GF,5.3833,-52.95,77.31,90,100,9.46,overcast clouds
10,Souillac,MU,-20.5167,57.5167,77.0,88,75,14.97,light rain
11,Barrow,US,71.2906,-156.7887,21.2,79,1,14.97,clear sky
12,Chokurdakh,RU,70.6333,147.9167,30.31,97,100,11.88,light snow
13,Maragogi,BR,-9.0122,-35.2225,77.74,83,39,6.85,scattered clouds
14,Busselton,AU,-33.65,115.3333,73.0,65,99,3.0,overcast clouds
15,Jijiga,ET,9.35,42.8,61.57,94,100,7.52,moderate rain
16,Gimli,CA,50.6336,-96.9907,35.6,87,100,5.75,overcast clouds
17,Hobart,AU,-42.8794,147.3294,66.2,45,20,19.57,few clouds
18,Los Llanos de Aridane,ES,28.6585,-17.9182,66.2,72,75,4.61,broken clouds
19,Arraial do Cabo,BR,-22.9661,-42.0278,74.05,86,66,8.75,broken clouds
20,Olkhovka,RU,53.2115,60.6069,43.11,57,15,10.65,few clouds
21,Constitución,CL,-35.3333,-72.4167,56.61,78,0,9.44,clear sky
22,Hermanus,ZA,-34.4187,19.2345,59.0,92,1,3.0,clear sky
23,Avarua,CK,-21.2078,-159.775,82.4,74,20,9.22,few clouds
24,Bluff,NZ,-46.6,168.3333,48.0,72,87,20.0,overcast clouds
25,Reinosa,ES,42.9996,-4.138,57.99,94,75,2.3,broken clouds
26,Ribeira Grande,PT,38.5167,-28.7,59.0,72,20,12.66,few clouds
27,Mehamn,NO,71.0357,27.8492,32.0,93,40,11.5,light snow
28,Cherskiy,RU,68.75,161.3,21.99,72,89,6.06,overcast clouds
29,Cabo San Lucas,MX,22.8909,-109.9124,73.99,40,90,11.5,overcast clouds
30,Ellington,US,41.904,-72.4698,53.6,43,20,21.85,few clouds
31,Linguère,SN,15.3953,-15.1193,72.37,40,36,11.41,scattered clouds
32,Kamaishi,JP,39.2667,141.8833,51.8,28,40,9.22,scattered clouds
33,Lompoc,US,34.6391,-120.4579,53.6,82,100,6.91,overcast clouds
34,Leningradskiy,RU,69.3833,178.4167,29.62,84,100,1.81,overcast clouds
35,Dingle,PH,10.9995,122.6711,89.87,52,73,5.32,light rain
36,Dikson,RU,73.5069,80.5464,18.45,93,100,18.61,light snow
37,Omboué,GA,-1.5746,9.2618,78.66,85,71,3.06,broken clouds
38,São Filipe,CV,14.8961,-24.4956,71.73,71,99,9.42,overcast clouds
39,Kapaa,US,22.0752,-159.319,78.8,69,20,13.8,moderate rain
40,Fortuna,US,40.5982,-124.1573,51.01,87,75,3.44,broken clouds
41,Province of Mantua,IT,45.1667,10.7833,57.0,72,100,7.0,overcast clouds
42,Vaini,TO,-21.2,-175.2,80.6,83,40,5.75,light rain
43,Boali,CF,4.8005,18.1275,75.2,88,0,1.19,light rain
44,San Cristobal,VE,7.7669,-72.225,78.8,83,75,3.44,broken clouds
45,Port Alfred,ZA,-33.5906,26.891,71.47,45,91,9.46,overcast clouds
46,Saint-Gilles,FR,43.6766,4.4302,53.6,71,0,3.44,clear sky
47,Moose Factory,CA,51.2585,-80.6094,21.2,73,1,1.1,clear sky
48,Klaksvík,FO,62.2266,-6.589,42.8,100,100,19.57,overcast clouds
49,Qaanaaq,GL,77.484,-69.3632,28.44,64,5,8.9,clear sky
50,Lüderitz,NA,-26.6481,15.1594,61.65,90,95,3.8,overcast clouds
51,Upernavik,GL,72.7868,-56.1549,26.22,79,46,5.1,scattered clouds
